City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
653,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,
656,Butaritari,KI,83.01,scattered clouds,3.0707,172.7902,
662,Kieta,PG,82.99,moderate rain,-6.2167,155.6333,
665,Hilo,US,83.93,few clouds,19.7297,-155.09,
667,Praia,CV,79.34,broken clouds,14.9215,-23.5087,
669,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,
671,Gamba,GA,75.24,overcast clouds,-2.65,10.0,
672,Atuona,PF,77.94,broken clouds,-9.8,-139.0333,
673,Coahuayana,MX,76.48,overcast clouds,18.7333,-103.6833,
681,Portland,US,85.84,few clouds,45.5234,-122.6762,
683,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,
687,Gigmoto,PH,84.18,broken clouds,13.7796,124.39,
705,Wuxue,CN,82.13,overcast clouds,29.8506,115.5525,
708,Cukai,MY,77.0,broken clouds,4.25,103.4167,
709,Manggar,ID,82.18,overcast clouds,-2.8833,108.2667,
710,Obregon,NI,84.29,overcast clouds,11.9566,-85.9636,
711,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,
718,Botad,IN,77.0,overcast clouds,22.1667,71.6667,
719,Kapaa,US,85.98,light rain,22.0752,-159.319,
720,Assiniboia,CA,84.02,broken clouds,49.6334,-105.9845,
723,Puri,IN,84.38,overcast clouds,19.8,85.85,
726,Aripuana,BR,77.41,broken clouds,-9.1667,-60.6333,
728,Panguna,PG,79.41,light rain,-6.3164,155.4848,
729,Road Town,VG,86.04,few clouds,18.4167,-64.6167,
731,Victoria,HK,84.38,few clouds,22.2855,114.1577,
738,San Patricio,US,86.72,clear sky,28.017,-97.5169,
739,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,
744,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,
746,Itoman,JP,84.22,few clouds,26.1247,127.6694,
754,Lompoc,US,83.01,clear sky,34.6391,-120.4579,
755,Honiara,SB,86.88,few clouds,-9.4333,159.95,
756,Kidal,ML,87.8,clear sky,18.4411,1.4078,
761,Muli,MV,82.42,moderate rain,2.9167,73.5667,
777,Jucas,BR,84.56,scattered clouds,-6.5253,-39.5275,
779,Monrovia,LR,77.41,moderate rain,6.3005,-10.7969,
780,San Pedro,PH,86.32,broken clouds,14.35,121.0167,
790,Coari,BR,76.57,light rain,-4.085,-63.1414,
791,Avarua,CK,75.25,light rain,-21.2078,-159.775,
793,Sawakin,SD,84.94,scattered clouds,19.1059,37.3321,
794,Kuala Terengganu,MY,75.15,few clouds,5.3302,103.1408,
797,Sinnamary,GF,79.7,few clouds,5.3833,-52.95,
801,Soteapan,MX,81.03,overcast clouds,18.2333,-94.8667,
802,Kahului,US,85.26,light rain,20.8947,-156.47,
805,Palembang,ID,77.09,few clouds,-2.9167,104.7458,
807,Miri,MY,78.94,scattered clouds,4.4148,114.0089,
812,Lorengau,PG,85.39,broken clouds,-2.0226,147.2712,
815,Gupitan,PH,78.53,overcast clouds,7.7758,125.6406,
820,Kingsland,US,77.95,few clouds,30.8,-81.6898,
829,Touros,BR,79.7,few clouds,-5.1989,-35.4608,
830,Manokwari,ID,82.94,overcast clouds,-0.8667,134.0833,
831,Tomatlan,MX,82.85,broken clouds,19.9333,-105.25,
834,Nioro,GM,77.52,broken clouds,13.35,-15.75,
835,Sakakah,SA,78.37,clear sky,29.9697,40.2064,
839,Dicabisagan,PH,82.94,scattered clouds,17.0818,122.4157,
841,Pacific Grove,US,80.6,clear sky,36.6177,-121.9166,
843,Takoradi,GH,76.05,light rain,4.8845,-1.7554,
846,Alofi,NU,76.89,clear sky,-19.0595,-169.9187,
851,Auki,SB,86.67,few clouds,-8.7676,160.7034,
854,Keti Bandar,PK,81.43,scattered clouds,24.1447,67.4497,
862,Corn Island,NI,80.42,light rain,12.1694,-83.0418,
868,Enshi,CN,75.25,clear sky,30.3,109.4833,
869,Ransang,PH,82.08,broken clouds,8.9603,117.5828,
870,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,
872,Aswan,EG,79.9,clear sky,24.0934,32.907,
873,Itarema,BR,78.98,few clouds,-2.9248,-39.9167,
890,Kodumudi,IN,77.43,moderate rain,11.0775,77.8836,
894,Chauk,MM,77.07,broken clouds,20.8833,94.8167,
897,Barinas,VE,85.69,scattered clouds,8.6226,-70.2075,
898,Esmeralda,CU,79.84,broken clouds,21.8525,-78.1169,
899,Manali,IN,78.89,overcast clouds,13.1667,80.2667,
900,Valenca Do Piaui,BR,86.49,overcast clouds,-6.4075,-41.7456,
901,Sembakung,ID,78.73,overcast clouds,3.8167,117.25,
905,Tutoia,BR,79.47,broken clouds,-2.7619,-42.2744,
907,Georgetown,MY,79.9,few clouds,5.4112,100.3354,
908,Umm Kaddadah,SD,80.87,overcast clouds,13.6017,26.6876,
909,Zachary,US,82.06,clear sky,30.6485,-91.1565,
912,Hobbs,US,81.07,overcast clouds,32.7026,-103.136,
913,Ugoofaaru,MV,80.76,overcast clouds,5.6667,73.0,
918,Pauini,BR,79.0,broken clouds,-7.7136,-66.9764,
920,Seremban,MY,78.35,overcast clouds,2.7297,101.9381,
922,Paka,MY,76.98,few clouds,4.6374,103.4368,
925,Tebingtinggi,ID,75.31,overcast clouds,3.3285,99.1625,
927,Dunmore Town,BS,83.01,overcast clouds,25.5,-76.65,
930,Hobyo,SO,77.23,overcast clouds,5.3505,48.5268,
932,Les Cayes,HT,80.89,few clouds,18.2,-73.75,
933,Sao Filipe,CV,78.26,scattered clouds,14.8961,-24.4956,
937,Lakatoro,VU,79.03,broken clouds,-16.0999,167.4164,
938,Port Blair,IN,81.07,overcast clouds,11.6667,92.75,
939,Eyl,SO,77.25,broken clouds,7.9803,49.8164,
940,Domoni,KM,75.81,scattered clouds,-12.2569,44.5319,
943,Moctezuma,MX,85.35,overcast clouds,29.8,-109.6667,
947,Omboue,GA,76.32,overcast clouds,-1.5746,9.2618,
948,Tessalit,ML,85.86,clear sky,20.1986,1.0114,
951,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,
954,Bintulu,MY,77.41,few clouds,3.1667,113.0333,
955,Key West,US,89.6,few clouds,24.5557,-81.7826,
957,Altamont,US,85.89,clear sky,42.2068,-121.7372,
958,Borba,BR,75.34,moderate rain,-4.3878,-59.5939,
961,Tongzi,CN,77.74,scattered clouds,28.7829,105.0877,
962,Manadhoo,MV,81.39,overcast clouds,5.7667,73.3833,
964,Soyo,AO,75.02,overcast clouds,-6.1349,12.3689,
967,Padampur,IN,85.37,scattered clouds,29.6833,73.6167,
969,Bilma,NE,85.78,clear sky,18.6853,12.9164,
970,Namuac,PH,83.08,scattered clouds,18.6109,121.1657,
971,Kavieng,PG,83.89,light rain,-2.5744,150.7967,
976,Kirakira,SB,85.33,broken clouds,-10.4544,161.9205,
978,Praya,CV,79.34,broken clouds,14.9215,-23.5087,
982,Popondetta,PG,89.11,scattered clouds,-8.7537,148.2534,
986,Isangel,VU,75.31,broken clouds,-19.55,169.2667,
989,Nishihara,JP,83.48,few clouds,26.1842,127.7558,
992,Umm Lajj,SA,82.04,clear sky,25.0213,37.2685,
997,Samarai,PG,80.38,broken clouds,-10.6167,150.6667,
998,Katobu,ID,80.89,overcast clouds,-4.9408,122.5276,
999,Cenotillo,MX,77.83,broken clouds,20.9667,-88.6167,
1002,Nizwa,OM,83.52,overcast clouds,22.9333,57.5333,
1005,Kununurra,AU,76.98,few clouds,-15.7667,128.7333,
1007,Luwuk,ID,81.75,overcast clouds,-0.9516,122.7875,
1011,Port Moresby,PG,83.62,scattered clouds,-9.4431,147.1797,
1014,Iracoubo,GF,81.18,clear sky,5.4802,-53.2011,
1015,Ixtapa,MX,85.23,scattered clouds,20.7,-105.2,
1016,Godda,IN,83.59,overcast clouds,24.8333,87.2167,
1022,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,
1023,Jinxiang,CN,75.61,scattered clouds,27.4327,120.6062,
1029,Lahij,YE,84.76,scattered clouds,13.1667,44.5833,
1030,Mahibadhoo,MV,81.07,overcast clouds,3.7833,72.9667,
1033,Buala,SB,84.29,light rain,-8.145,159.5921,
1034,Lingao,CN,81.23,overcast clouds,19.9103,109.6859,
1041,Abu Dhabi,AE,87.82,clear sky,24.4667,54.3667,
1049,Nouakchott,MR,78.73,scattered clouds,18.0858,-15.9785,
1051,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,
1053,Tautira,PF,82.0,light rain,-17.7333,-149.15,
1060,Grand-Lahou,CI,76.12,moderate rain,5.1367,-5.0242,
1061,Innisfail,AU,76.57,broken clouds,-17.5333,146.0333,
1062,Diapaga,BF,77.36,few clouds,12.0708,1.7889,
1064,Mancio Lima,BR,77.07,overcast clouds,-7.6142,-72.8958,
1068,Sorong,ID,81.19,overcast clouds,-0.8833,131.25,
1071,Porto Nacional,BR,75.2,overcast clouds,-10.7081,-48.4172,
1072,Corvallis,US,85.68,clear sky,44.5646,-123.262,
1077,Labuhan,ID,79.2,overcast clouds,-6.8844,112.2051,
1079,Galveston,US,85.17,clear sky,29.3669,-94.9669,
1081,Puerto Narino,CO,76.95,heavy intensity rain,-3.7703,-70.3831,
1082,Nicolas Bravo,MX,85.08,broken clouds,18.45,-88.9167,
1083,Trincomalee,LK,81.16,overcast clouds,8.5711,81.2335,
1085,Peto,MX,81.64,broken clouds,20.1333,-88.9167,
1086,Champerico,GT,84.34,overcast clouds,14.3,-91.9167,
1093,Harper,LR,77.29,light rain,4.375,-7.7169,
1098,San Juan,AR,75.72,clear sky,-31.5375,-68.5364,
1100,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,
1102,Carutapera,BR,79.34,overcast clouds,-1.195,-46.02,
1111,Mitsamiouli,KM,75.7,few clouds,-11.3847,43.2844,
1113,Sao Joao Dos Patos,BR,84.51,overcast clouds,-6.495,-43.7022,
1115,Kavaratti,IN,81.43,broken clouds,10.5669,72.642,
1116,Bridgetown,BB,81.09,scattered clouds,13.1,-59.6167,
1120,Alto Araguaia,BR,83.8,overcast clouds,-17.3147,-53.2153,
1121,Merauke,ID,81.55,overcast clouds,-8.4667,140.3333,
1140,Prainha,BR,80.33,broken clouds,-1.8,-53.48,
1142,San Miguel,SV,89.2,scattered clouds,13.4833,-88.1833,
1144,Mexico,PH,84.22,clear sky,15.0646,120.7198,
1146,Banda Aceh,ID,79.09,overcast clouds,5.5577,95.3222,
1152,Grand-Santi,GF,76.71,broken clouds,4.25,-54.3833,
1153,Mana,GF,80.76,clear sky,5.6592,-53.7767,
1158,Sheridan,US,88.18,clear sky,44.8333,-106.9173,
1161,Matamoros,MX,88.11,broken clouds,25.5333,-103.25,
1164,Sur,OM,84.99,overcast clouds,22.5667,59.5289,
1167,Lucea,JM,85.86,scattered clouds,18.451,-78.1736,
1168,Pringsewu,ID,75.83,overcast clouds,-5.3582,104.9744,
1181,La Asuncion,VE,85.73,scattered clouds,11.0333,-63.8628,
1191,Naze,JP,77.92,scattered clouds,28.3667,129.4833,
1193,Makakilo City,US,86.32,overcast clouds,21.3469,-158.0858,
1198,Taguatinga,BR,81.48,broken clouds,-12.3857,-46.5711,
1204,Cairns,AU,84.11,scattered clouds,-16.9167,145.7667,
1211,Malpe,IN,78.1,broken clouds,13.35,74.7167,
1212,Buraydah,SA,82.85,clear sky,26.326,43.975,
1213,Nargana,PA,81.77,overcast clouds,9.4428,-78.5906,
1220,Jardim,BR,81.66,few clouds,-21.4803,-56.1381,
1221,Sao Jose Da Coroa Grande,BR,75.79,few clouds,-8.8978,-35.1478,
1225,Faanui,PF,79.12,clear sky,-16.4833,-151.75,
1236,Kudahuvadhoo,MV,82.09,moderate rain,2.6708,72.8944,
1239,Amahai,ID,80.91,overcast clouds,-3.3333,128.9167,
1241,Alyangula,AU,82.27,broken clouds,-13.8483,136.4192,
1247,Zhicheng,CN,76.53,light rain,30.2956,111.5047,
1248,Paracatu,BR,79.52,scattered clouds,-17.2222,-46.8747,
1251,Mindelo,CV,78.35,few clouds,16.8901,-24.9804,
1253,Puerto Rondon,CO,76.93,scattered clouds,6.2805,-71.1,
1254,Luis Correia,BR,79.66,scattered clouds,-2.8792,-41.6669,
1255,Dingle,PH,81.43,overcast clouds,10.9995,122.6711,
1258,Winnemucca,US,87.85,clear sky,40.973,-117.7357,
1259,Cockburn Town,TC,82.36,few clouds,21.4612,-71.1419,
1268,Karaton,ID,83.95,broken clouds,-6.3424,106.1045,
1270,Ewa Beach,US,87.75,overcast clouds,21.3156,-158.0072,
1277,Ruwi,OM,83.89,scattered clouds,23.5996,58.5507,
1278,Tecoanapa,MX,82.78,overcast clouds,16.5167,-98.75,
1280,Marzuq,YE,79.45,broken clouds,14.4,46.4667,
1281,Trinidad,BO,85.98,smoke,-14.8333,-64.9,
1282,Ouegoa,NC,77.0,scattered clouds,-20.35,164.4333,
1284,Hays,US,86.92,few clouds,30.0502,-98.0336,
1289,Manaus,BR,81.09,scattered clouds,-3.1019,-60.025,
1290,Rabaul,PG,84.92,overcast clouds,-4.1967,152.1721,
1291,Axim,GH,76.3,light rain,4.8699,-2.2405,
1293,Vila Velha,BR,76.96,scattered clouds,-20.3297,-40.2925,
1294,Belmopan,BZ,85.28,overcast clouds,17.25,-88.7667,
1295,Nabire,ID,78.98,overcast clouds,-3.3667,135.4833,
1298,Tual,ID,81.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
